                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63414,                0.58812,                0.98416,                0.89139,                0.89951,                0.87211,                0.81296,                0.44879,                0.46773,                0.86555,             0.00054478,             0.00054478,             0.00054478
                     37,                0.62461,                0.58612,                0.98097,                0.89791,                0.89951,                0.87817,                0.83059,                0.47279,                0.50189,                0.86677,             0.00051177,             0.00051177,             0.00051177
                     38,                0.61931,                0.54873,                0.96784,                0.88161,                0.89653,                0.89304,                0.84924,                0.38697,                0.45617,                 0.8462,             0.00047876,             0.00047876,             0.00047876
                     39,                0.62592,                0.58532,                0.98827,                0.89447,                0.89951,                0.87398,                0.84671,                0.38028,                0.44836,                0.84558,             0.00044576,             0.00044576,             0.00044576
                     40,                0.60683,                0.52035,                0.97509,                0.89204,                0.89951,                0.87598,                 0.8445,                0.42572,                0.50305,                0.86149,             0.00041275,             0.00041275,             0.00041275
                     41,                0.57676,                0.48631,                0.97173,                0.89186,                0.89951,                0.87936,                 0.8474,                0.36973,                0.42475,                0.84407,             0.00037974,             0.00037974,             0.00037974
                     42,                0.56984,                0.48605,                0.95979,                0.89481,                0.89951,                0.86512,                0.82905,                0.42526,                 0.4781,                0.86525,             0.00034674,             0.00034674,             0.00034674
                     43,                0.54195,                0.46681,                 0.9449,                0.89723,                0.89951,                0.87375,                0.83622,                0.41063,                 0.4565,                0.85164,             0.00031373,             0.00031373,             0.00031373
                     44,                0.54063,                 0.4457,                0.94732,                0.89614,                0.89807,                0.89009,                 0.8548,                0.41887,                0.44442,                0.84601,             0.00028072,             0.00028072,             0.00028072
                     45,                0.53918,                0.43047,                0.94939,                0.89101,                0.89951,                0.90143,                0.84457,                0.41647,                0.40587,                0.83383,             0.00024772,             0.00024772,             0.00024772
                     46,                0.53653,                0.43142,                0.94693,                0.85752,                0.89735,                0.87296,                0.83447,                0.41554,                0.50306,                0.85733,             0.00021471,             0.00021471,             0.00021471
                     47,                 0.5252,                0.41228,                 0.9423,                0.88975,                0.89951,                0.88037,                0.85982,                0.36606,                0.41205,                0.84329,              0.0001817,              0.0001817,              0.0001817
                     48,                0.52113,                0.39366,                0.93728,                0.89593,                0.89951,                0.87372,                0.83436,                0.45183,                0.44199,                0.85714,              0.0001487,              0.0001487,              0.0001487
                     49,                0.50311,                0.39287,                0.92351,                0.89573,                0.89951,                0.86963,                 0.8368,                 0.3946,                0.42301,                0.84571,             0.00011569,             0.00011569,             0.00011569
                     50,                0.49656,                 0.3689,                0.92535,                0.89577,                0.89951,                0.87733,                0.84352,                0.40929,                0.42504,                0.84571,             8.2683e-05,             8.2683e-05,             8.2683e-05
